,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,-0.019222289323806763,-0.018942832946777344,-0.018942832946777344
1,-0.02175387740135193,-0.017699897289276123,-0.017699897289276123
2,-0.0006521046161651611,-0.0015254616737365723,-0.0015254616737365723
3,-0.004333227872848511,-0.004731625318527222,-0.004731625318527222
4,-0.01996743679046631,-0.008597880601882935,-0.006885558366775513
5,-0.01904982328414917,-0.012436479330062866,-0.012436479330062866
6,-0.006696760654449463,-0.00766870379447937,-0.00766870379447937
7,-0.006091207265853882,-0.005180001258850098,-0.005706518888473511
8,-0.0101698637008667,-0.009205609560012817,-0.009205609560012817
9,-0.015900790691375732,-0.01579105854034424,-0.01579105854034424
