,0
0,0.20812798291444778
1,0.4524545520544052
2,0.22405335307121277
3,0.22711998969316483
4,0.04874677211046219
5,0.5890817791223526
6,0.10375064611434937
7,0.04985912889242172
8,0.13759692758321762
9,0.0052965059876441956
10,0.009514644742012024
11,0.6765572354197502
12,-0.00041365623474121094
13,0.11106167733669281
14,0.024343006312847137
15,0.0159577876329422
16,0.21855995059013367
17,0.06279129534959793
18,0.7660884335637093
19,0.22136302292346954
20,-0.0014389976859092712
21,0.40433572232723236
22,0.2788638472557068
23,0.4280531406402588
24,0.05922984331846237
25,0.42878592014312744
26,0.006915338337421417
27,0.5749263539910316
28,0.49450598657131195
29,0.4439903497695923
30,0.3745645359158516
31,0.5589907467365265
32,0.18655282258987427
33,0.004656247794628143
34,0.1403963342308998
35,0.010410994291305542
36,0.006812162697315216
37,0.8982213661074638
38,0.2996288612484932
39,0.22052345424890518
40,0.04522016644477844
41,0.779820166528225
42,0.4061935693025589
43,0.2163870632648468
44,0.024642065167427063
45,1.0061346590518951
46,0.1679024174809456
47,0.1342613399028778
48,0.4413316324353218
49,0.2505190148949623
