,Unoptimized Weights,Optimized Weights
0,0.38172483444213867,0.40620046854019165
1,0.3710315227508545,0.36643150448799133
2,0.3426094353199005,0.34172362089157104
3,0.38133570551872253,0.3598715662956238
4,0.3837331235408783,0.3574470579624176
5,0.34349071979522705,0.36034077405929565
6,0.36675649881362915,0.34774142503738403
7,0.35719528794288635,0.38947343826293945
8,0.35864314436912537,0.34738925099372864
9,0.3618669807910919,0.35886281728744507
10,0.38345205783843994,0.3596484363079071
11,0.34696003794670105,0.36532899737358093
12,0.37405940890312195,0.39902549982070923
13,0.3565850853919983,0.36672571301460266
14,0.36483874917030334,0.3445869982242584
15,0.36640098690986633,0.3591456115245819
16,0.40270501375198364,0.3474580645561218
17,0.35299769043922424,0.37893927097320557
18,0.3606081008911133,0.35431110858917236
19,0.35858091711997986,0.3567023277282715
20,0.3572980761528015,0.34832677245140076
21,0.3584146499633789,0.37362492084503174
22,0.3685877323150635,0.36755701899528503
23,0.3657592833042145,0.3504788875579834
24,0.35175397992134094,0.3618565797805786
