,Zero Nodes,Worse Nodes,Important Nodes
0,2.0,7.0,55.0
1,6.0,0.0,58.0
2,9.0,6.0,49.0
3,3.0,14.0,47.0
4,7.0,10.0,47.0
5,4.0,15.0,45.0
6,6.0,16.0,42.0
7,5.0,9.0,50.0
8,3.0,10.0,51.0
9,2.0,5.0,57.0
10,2.0,21.0,41.0
11,1.0,12.0,51.0
12,4.0,19.0,41.0
13,4.0,21.0,39.0
14,3.0,16.0,45.0
15,10.0,6.0,48.0
16,2.0,6.0,56.0
17,3.0,9.0,52.0
18,3.0,17.0,44.0
19,6.0,17.0,41.0
20,6.0,12.0,46.0
21,2.0,10.0,52.0
22,6.0,15.0,43.0
23,3.0,23.0,38.0
24,2.0,15.0,47.0
25,4.0,11.0,49.0
26,5.0,17.0,42.0
27,2.0,9.0,53.0
28,5.0,15.0,44.0
29,6.0,19.0,39.0
30,3.0,9.0,52.0
31,4.0,19.0,41.0
32,6.0,12.0,46.0
33,2.0,5.0,57.0
34,5.0,15.0,44.0
35,3.0,11.0,50.0
36,2.0,13.0,49.0
37,5.0,13.0,46.0
38,5.0,12.0,47.0
39,10.0,5.0,49.0
40,2.0,15.0,47.0
41,3.0,14.0,47.0
42,2.0,8.0,54.0
43,6.0,10.0,48.0
44,3.0,10.0,51.0
45,4.0,10.0,50.0
46,7.0,6.0,51.0
47,3.0,8.0,53.0
48,1.0,11.0,52.0
49,6.0,22.0,36.0
