,Layer 3,Layer 2,Layer 1
0,4,8,16
1,7,13,38
2,3,12,17
3,2,13,21
4,5,8,11
5,5,17,34
6,2,10,13
7,3,4,22
8,5,7,18
9,3,3,15
10,3,8,11
11,5,16,20
12,3,3,5
13,3,12,20
14,5,7,17
15,3,9,14
16,3,11,32
17,4,6,16
18,6,16,22
19,6,14,32
20,5,6,18
21,9,11,21
22,6,10,20
23,5,16,25
24,5,4,21
25,4,14,24
26,5,5,5
27,3,17,24
28,6,11,17
29,3,12,27
30,4,14,24
31,3,13,15
32,2,8,26
33,3,6,17
34,3,11,21
35,3,7,12
36,4,7,18
37,8,19,39
38,8,11,20
39,5,12,28
40,2,8,14
41,7,18,35
42,5,12,21
43,2,10,19
44,3,8,13
45,7,13,27
46,5,7,21
47,4,13,13
48,6,14,27
49,6,11,31
